Species;Relative.Adult.Mobility;Estimated.Max.Body.Size;Habitat.Complexity;Chemosynthesis.Obligate;Zonation.From.Vent;Feeding.Mode;CIR;ESR;Galapagos;GoC;JdF;Kermadec;Lau;Manus;Mariana;MohnsRidge;NEPR;N.MAR;NFiji;Okinawa;SEPR;S.MAR;SWIR
Iheyomytilidicola tridentatus;1;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Imbricaverruca yamaguchii;1;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Iphinopsis boucheti;2;100;Does not add;Vent;Low;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kiwa n. sp. ""SWIR""";3;100;Does not add;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Kiwa tyleri;3;100;Bed forming;Vent;High;Symbiotic;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kyphometopa saldanhae;3;1;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lacunoides exquisitus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lacunoides vitreus;2;1;Does not add;Vent;Medium;Bacterivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Laeviphitus desbruyeresi;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Laeviphitus japonicus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Lamellibrachia barhami;1;1000;Open bush forming;Other CBE;Medium;Symbiotic;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Lamellibrachia columna;1;1000;Open bush forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Lamellibrachia juni;1;1000;Open bush forming;Vent;Low;Symbiotic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Lamellibrachia satsuma;1;1000;Dense bush forming;Other CBE;Medium;Symbiotic;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Laminatubus alvini;1;100;Does not add;Vent;Low;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Laonice asaccata;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Laubieriellus grasslei;2;10;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lebbeus carinatus;4;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Lebbeus shinkaiae;3;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Lebbeus washingtonianus;4;10;Does not add;No;Medium;Bacterivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Lebbeus wera;4;100;Does not add;Vent;Low;Detritivore;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Leitoscoloplos pachybranchiatus;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Lepetodrilus atlanticus;3;10;Does not add;Vent;Low;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lepetodrilus corrugatus;3;10;Does not add;Vent;High;Symbiotic;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Lepetodrilus cristatus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Lepetodrilus elevatus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Lepetodrilus fucensis;3;100;Open bush forming;Vent;High;Symbiotic;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Lepetodrilus japonicus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Lepetodrilus nux;2;10;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Lepetodrilus ovalis;3;10;Does not add;Other CBE;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Lepetodrilus pustulosus;3;10;Does not add;Other CBE;Medium;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Lepetodrilus schrolli;3;10;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Lepetodrilus sp. 1 CIR;3;10;Does not add;Vent;Medium;Bacterivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lepetodrilus sp. 2 CIR;3;10;Does not add;Vent;Medium;Bacterivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lepetodrilus sp. A;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Lepetodrilus sp. ESR ""concentricus""";3;10;Does not add;Vent;High;Bacterivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lepetodrilus tevnianus;3;10;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Lepidion schmidti;4;1000;Does not add;No;High;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lepidonotopodium atalantae;4;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Lepidonotopodium fimbriatum;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Lepidonotopodium jouinae;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lepidonotopodium minutum;4;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Lepidonotopodium piscesae;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Lepidonotopodium riftense;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Lepidonotopodium williamsae;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Leptochiton tenuidontus;2;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Leptogyra inflata;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Leucolepas longa;1;100;Open bush forming;Vent;Medium;Detritivore;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
Leucothoe atosi;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Levensteiniella intermedia;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Levensteiniella iris;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Levensteiniella kincaidi;4;100;Does not add;Vent;Medium;Carnivore;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Levensteiniella plicata;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Levensteiniella raisae;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
Lindaspio dibranchiata;3;10;Does not add;Vent;Low;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Lindaspio southwardorum;3;100;Does not add;Vent;Low;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Lirapex costellatus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lirapex granularis;3;1;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Lirapex humatus;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Lucernaria bathyphila;1;100;Does not add;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Lucernaria janetae;1;100;Bed forming;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Luckia striki;4;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lurifax vitreus;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lycaeopsis zamboangae;3;10;Does not add;No;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Lycopodina cupressiformis;1;100;Open bush forming;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Lycopodina infundibulum;1;100;Does not add;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Lycopodina lycopodium;1;100;Open bush forming;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Lycopodina tendali;1;10;Open bush forming;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Macellicephala galapagensis;4;10;Does not add;Other CBE;Low;Carnivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malacoceros samurai;4;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Maractis rimicarivora;1;100;Bed forming;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Margarites ryukyuensis;2;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Margarites shinkai;2;100;Does not add;Other CBE;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Marianactis bythios;1;100;Open bush forming;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Marianactis sp. 1 CIR;1;1000;Does not add;Vent;Low;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melanodrymia aurantiaca;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Melanodrymia brightae;2;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Melanodrymia galeronae;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Metopa samsiluna;3;10;Does not add;No;Medium;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Mirocaris fortunata;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Mirocaris indica;4;100;Does not add;Vent;High;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Monachocrinus n. sp.;1;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Monoculodes anophthalma;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Monoculodes bousfieldi;4;10;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Munidopsis alvisca;4;100;Does not add;Vent;Low;Carnivore;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Munidopsis crassa;3;100;Does not add;Other CBE;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Munidopsis exuta;4;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Munidopsis kermadec;4;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Munidopsis laticorpus;4;100;Does not add;Vent;Low;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Munidopsis lauensis;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Munidopsis longispinosa;4;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Munidopsis marianica;4;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Munidopsis ryukyuensis;3;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Munidopsis sonne;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Munidopsis sp. SWIR;3;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Munidopsis starmer;4;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Munidopsis subsquamosa;4;100;Does not add;Vent;Low;Carnivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Mytilidiphila enseiensis;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Mytilidiphila okinawaensis;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Nautilocaris saintlaurentae;4;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Neobrachylepas relica;1;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Neolepas rapanuii;1;100;Open bush forming;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Neolepas scotiaensis;1;1000;Open bush forming;Vent;Medium;Bacterivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neolepas sp. 1;1;100;Open bush forming;Vent;Medium;Detritivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Neolepas sp. CIR;1;100;Does not add;Vent;Medium;Bacterivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Neolepas zevinae;1;100;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Neolepetopsis densata;3;10;Does not add;Vent;Low;Bacterivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Neolepetopsis gordensis;3;10;Does not add;Other CBE;Low;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Neolepetopsis occulta;3;10;Does not add;Vent;Low;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Neolepetopsis verruca;3;10;Does not add;Vent;Low;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Neomphalus fretterae;3;10;Mat forming;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Neosabellides smileyi;3;100;Mat forming;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Neoverruca brachylepadoformis;1;10;Mat forming;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Neoverruca intermedia;1;10;Mat forming;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Nereimyra alvinae;3;1;Does not add;Vent;Medium;Carnivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Nereis piscesae;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Nereis sandersi;3;100;Does not add;Vent;High;Carnivore;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0
Nicomache (Loxochona) lokii;3;100;Bed forming;Vent;Low;Bacterivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Nicomache arwidssoni;2;100;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Nicomache cf. arwidssoni;3;100;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Nicomache venticola;2;100;Open bush forming;Vent;Medium;Detritivore;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Nodopelta heminoda;3;100;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Nodopelta subnoda;3;10;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Oasisia alvinae;1;100;Dense bush forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Oasisia fujikurai;1;100;Dense bush forming;Vent;Medium;Symbiotic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Obesutanais sigridae;3;10;Burrow forming;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Oediceropsis bicornuta;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Oenopota ogasawarana;3;10;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Opaepele loihi;4;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Ophiactis tyleri;3;10;Does not add;No;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ophiocten centobi;3;10;Does not add;No;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ophioctenella acies;3;100;Does not add;Other CBE;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ophiolamina eprae;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Ophiomitra spinea;3;10;Does not add;No;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ophiotreta valenciennesi;3;10;Does not add;No;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ophiuroglypha clemens;3;10;Does not add;No;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ophryotrocha akessoni;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Ophryotrocha fabriae;3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ophryotrocha globopalpata;3;10;Does not add;Vent;High;Bacterivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Ophryotrocha n. sp. ""F-038/1b""";3;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ophryotrocha platykephale;4;10;Does not add;Other CBE;Low;Bacterivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ophryotrocha scarlatoi;3;10;Does not add;Vent;Low;Bacterivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Oradarea longimana;4;10;Does not add;No;Medium;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Orbiniella hobsonae;2;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Orseis grasslei;3;100;Does not add;Vent;Low;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Pachycara saldanhai;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pachycara thermophilum;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pachydermia laevis;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Pachydermia sculpta;3;10;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Pacmanactis hashimotoi;1;100;Does not add;No;Low;Carnivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Paraescarpia echinospica;1;1000;Does not add;Vent;Low;Symbiotic;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
Paralepetopsis ferrugivora;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Paralepetopsis tunnicliffae;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Paralomis hirtella;3;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Paralomis jamsteci;4;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Paralvinella bactericola;2;100;Burrow forming;Vent;Medium;Detritivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Paralvinella dela;2;100;Burrow forming;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Paralvinella fijiensis;2;100;Mat forming;Vent;High;Detritivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Paralvinella grasslei;2;100;Burrow forming;Vent;High;Bacterivore;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
Paralvinella hessleri;2;10;Burrow forming;Vent;High;Detritivore;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Paralvinella palmiformis;3;100;Open bush forming;Vent;High;Bacterivore;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0
Paralvinella pandorae;2;100;Burrow forming;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
Paralvinella sulfincola;2;100;Burrow forming;Vent;High;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Paralvinella unidentata;2;100;Mat forming;Vent;High;Detritivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Paramytha schanderi;3;100;Mat forming;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Paranthosactis denhartogi;1;100;Does not add;Vent;High;Carnivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Parathyasira cf. dearborni;2;10;Burrow forming;No;Medium;Detritivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pardalisca endeavouri;4;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Parougia wolfi;3;10;Does not add;Vent;High;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Paulasterias tyleri;3;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Peinaleopolynoe n. sp. ""Dragon""";3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Peltospira delicata;3;10;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Peltospira lamellifera;3;10;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Peltospira operculata;3;100;Does not add;Vent;High;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Peltospira smaragdina;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Phreagena nankaiensis;3;1000;Bed forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Phreagena okutanii;2;100;Bed forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Phreagena soyoae;3;1000;Bed forming;Other CBE;Low;Symbiotic;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Phyllochaetopterus polus;2;100;Mat forming;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Phymorhynchus carinatus;3;100;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Phymorhynchus hyfifluxi;3;100;Does not add;Vent;Low;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Phymorhynchus moskalevi;3;100;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Phymorhynchus ovatus;3;100;Does not add;No;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Phymorhynchus sp. 1 CIR;3;100;Does not add;Vent;Medium;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phymorhynchus sp. SWIR;3;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phymorhynchus wareni;3;100;Does not add;Vent;Low;Carnivore;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Planorbidella depressa;3;10;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Pliocardia kuroshimana;3;100;Bed forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Podosirus vaderi;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Polynoidae gen. nov. sp. nov. ""655""";3;100;Does not add;Vent;Medium;Carnivore;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Prionospio cirrifera;3;1;Does not add;No;Low;Detritivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prionospio sandersi;3;10;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Prionospio unilamellata;3;1;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Protis hydrothermica;1;100;Mat forming;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Protolira thorvaldssoni;3;10;Does not add;Other CBE;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Protolira valvatoides;3;10;Does not add;Vent;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Protomystides papillosa;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Provanna buccinoides;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Provanna clathrata;2;10;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Provanna ios;3;10;Does not add;Vent;Medium;Detritivore;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
