Species;Relative.Adult.Mobility;Estimated.Max.Body.Size;Habitat.Complexity;Chemosynthesis.Obligate;Zonation.From.Vent;Feeding.Mode;CIR;ESR;Galapagos;GoC;JdF;Kermadec;Lau;Manus;Mariana;MohnsRidge;NEPR;N.MAR;NFiji;Okinawa;SEPR;S.MAR;SWIR
Archivesica kawamurai;3;1000;Bed forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Arcovestia ivanovi;1;100;Dense bush forming;Vent;Medium;Symbiotic;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
Asbestopluma (Asbestopluma) furcata;1;100;Open bush forming;No;Medium;Carnivore;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Ashinkailepas seepiophila;1;10;Does not add;Other CBE;Low;Detritivore;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Austinograea alayseae;3;100;Does not add;Vent;High;Carnivore;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Austinograea rodriguezensis;4;100;Does not add;Vent;Medium;Carnivore;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austinograea williamsi;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Autonoe longicornis;3;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bathyacmaea jonassoni;3;100;Does not add;Vent;Medium;Detritivore;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Bathyacmaea nipponica;3;100;Does not add;Vent;Medium;Bacterivore;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Bathyaustriella thionipta;2;100;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bathybdella sawyeri;3;10;Does not add;Vent;Medium;Carnivore;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bathycatalina filamentosa;4;100;Does not add;Other CBE;Low;Carnivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Bathykurila guaymasensis;4;10;Does not add;Other CBE;Low;Carnivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Bathymargarites symplector;3;10;Does not add;Vent;Low;Bacterivore;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Bathymedon curtipalpus;3;10;Does not add;Vent;Medium;Carnivore;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Bathymodiolus aduloides;2;100;Bed forming;Other CBE;Low;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Bathymodiolus antarcticus;2;100;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bathymodiolus azoricus;2;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bathymodiolus brevior;2;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Bathymodiolus elongatus;2;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Bathymodiolus japonicus;2;100;Bed forming;Other CBE;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Bathymodiolus manusensis;2;100;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Bathymodiolus marisindicus;2;100;Bed forming;Vent;Medium;Symbiotic;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bathymodiolus puteoserpentis;2;1000;Bed forming;Vent;Medium;Symbiotic;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bathymodiolus septemdierum;2;1000;Bed forming;Vent;High;Symbiotic;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
Bathymodiolus thermophilus;2;1000;Bed forming;Vent;Medium;Symbiotic;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Bonnierella cf. linearis;2;10;Does not add;Vent;Medium;Detritivore;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Bouvierella curtirama;4;10;Does not add;Vent;High;Detritivore;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Branchinotogluma burkensis;4;100;Does not add;Vent;Medium;Carnivore;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
